,Mining,Construction,Manufacturing,"Trade, transport & utilities",Information,Financial activities,Professional & business services,Education & health,Leisure & hospitality,Other services
NE,0.015836429935288703,0.0630691300519374,0.1356011015485014,0.2512596856498054,0.026058222797671303,0.0839309407657125,0.13538998478088618,0.14733678870017544,0.1076334745677785,0.03388424120224318
NH,0.004465597708054156,0.054420775380065615,0.14484173559447344,0.26228547664156,0.023161591423686522,0.06938866041310475,0.113686058869738,0.1738773624139365,0.11824777043574697,0.03562497111963403
NJ,0.003644213886045646,0.05219227854073276,0.09714231209116542,0.26086781974709344,0.029324557196167854,0.08047515743649943,0.17999090229383538,0.15765896158769763,0.1012172634256818,0.037486533795080657
NM,0.048077987546508064,0.0949671014104438,0.060420774645062646,0.224417957287186,0.025444463875728206,0.05434163512648429,0.1642298232412772,0.15412038589459937,0.13897628509864762,0.03500358587406282
NV,0.012283884738527215,0.1270144076840982,0.044692280327285665,0.20076752045535395,0.013483635716826751,0.05832088224831021,0.14074172892209177,0.07769121309142654,0.2996887228744219,0.025315723941657774
NY,0.0038547307419301,0.0481637388733753,0.08108809175747168,0.2144899555523893,0.03830902594151346,0.1036610606125457,0.1581114663230281,0.20998917894723537,0.0969512610246477,0.04538149022586326
OH,0.005461316333800321,0.05047189535919678,0.17445908168051366,0.22757085447256284,0.01943519034022821,0.06551737672623184,0.14381159357684645,0.16760820613980365,0.10977276529737598,0.0358917200734403
OK,0.04139490229910137,0.05911147737991736,0.12530505305489445,0.2371181172142236,0.025078969717924532,0.06768737055176419,0.14757854172051602,0.15131722496550845,0.11505913077922383,0.030349212316926208
OR,0.0348616284069398,0.06967788678992423,0.1442745821769794,0.23235734268467695,0.024322520842291005,0.062288854888515384,0.13560122959744922,0.13867661922125496,0.11490133066790259,0.04303800472406649
PA,0.008792176335082131,0.053478327190253624,0.1374811423879043,0.2285456706930318,0.022205055496280823,0.0685353815627455,0.13858284815067606,0.20343810715990152,0.10043107202841044,0.038510218995713816
