,state_fips,industry_code,emp_state_ind,emp_state_total,emp_nat_ind,share,emp_nat_loo,share_of_nat
157,20,65,161184,1085931,16829499,0.14842932009492316,16668315,0.0095774687053964
158,20,70,115277,1085931,12970494,0.1061549951147909,12855217,0.008887633732377503
159,20,80,36704,1085931,4308397,0.03379956921756539,4271693,0.008519177782363139
160,21,10,30094,1480742,1776779,0.020323594522205758,1746685,0.016937390637777685
161,21,20,83184,1480742,7589577,0.056177240869780154,7506393,0.01096029462511547
162,21,30,260876,1480742,14108909,0.1761792398675799,13848033,0.01849016107482159
163,21,40,375694,1480742,25978749,0.25372009438511234,25603055,0.014461589355207211
164,21,50,29707,1480742,3018358,0.020062239066630107,2988651,0.009842106204764313
165,21,55,89973,1480742,8135115,0.060762104404413465,8045142,0.011059831360712171
166,21,60,178880,1480742,17325563,0.1208042994660785,17146683,0.010324628411786677
167,21,65,218722,1480742,16829499,0.1477110799855748,16610777,0.012996346474722748
168,21,70,168410,1480742,12970494,0.1137335200865512,12802084,0.012984085263059372
169,21,80,45202,1480742,4308397,0.030526587346073792,4263195,0.01049160511438477
170,22,10,56549,1472100,1776779,0.03841383058216154,1720230,0.03182669313403637
171,22,20,130424,1472100,7589577,0.08859724203518783,7459153,0.01718462043405054
172,22,30,152076,1472100,14108909,0.10330548196454045,13956833,0.010778721444726875
173,22,40,369758,1472100,25978749,0.25117722980775764,25608991,0.014233094903838518
174,22,50,27012,1472100,3018358,0.018349296922763398,2991346,0.008949236637933605
175,22,55,91285,1472100,8135115,0.06201005366483255,8043830,0.011221107507392336
176,22,60,194141,1472100,17325563,0.1318803070443584,17131422,0.011205465588621854
177,22,65,220252,1472100,16829499,0.1496175531553563,16609247,0.01308725827191885
178,22,70,184162,1472100,12970494,0.12510155560084232,12786332,0.014198533995698237
179,22,80,46441,1472100,4308397,0.031547449222199576,4261956,0.010779183069712471
180,23,10,5842,498851,1776779,0.011710911675029217,1770937,0.003287972223895037
181,23,20,31310,498851,7589577,0.06276423220560849,7558267,0.004125394603678176
182,23,30,60188,498851,14108909,0.12065326119422433,14048721,0.0042659570630159994
183,23,40,125001,498851,25978749,0.2505778278483956,25853748,0.004811663563938356
184,23,50,11267,498851,3018358,0.022585902403723757,3007091,0.003732824270679621
185,23,55,32352,498851,8135115,0.06485303226815221,8102763,0.003976833763259646
186,23,60,51776,498851,17325563,0.1037905105933435,17273787,0.00298841659575507
187,23,65,105170,498851,16829499,0.210824474642729,16724329,0.006249146216414404
188,23,70,59736,498851,12970494,0.11974717901738194,12910758,0.0046055300592251925
189,23,80,16209,498851,4308397,0.03249266815141195,4292188,0.003762188117761664
190,24,10,6825,2073236,1776779,0.00329195518503441,1769954,0.003841220545717841
191,24,20,188310,2073236,7589577,0.09082902284158678,7401267,0.024811659464025467
192,24,30,136253,2073236,14108909,0.0657199662749441,13972656,0.009657231469846464
193,24,40,470261,2073236,25978749,0.22682463549735776,25508488,0.018101756939874203
194,24,50,50774,2073236,3018358,0.024490217225631813,2967584,0.01682172890028287
195,24,55,157614,2073236,8135115,0.07602318308190674,7977501,0.01937452635887753
196,24,60,394712,2073236,17325563,0.19038450036561202,16930851,0.02278205908806542
197,24,65,349186,2073236,16829499,0.16842559168372534,16480313,0.02074844889916212
198,24,70,229611,2073236,12970494,0.11075005450416643,12740883,0.01770256398869619
199,24,80,89690,2073236,4308397,0.04326087334003461,4218707,0.020817487339258662
200,25,10,8360,2789469,1776779,0.0029969861647503523,1768419,0.004705143408381121
201,25,20,140883,2789469,7589577,0.05050531122589998,7448694,0.01856269460076629
202,25,30,299389,2789469,14108909,0.10732831230603387,13809520,0.021219854774029656
203,25,40,566900,2789469,25978749,0.20322864315753286,25411849,0.021821682021717057
204,25,50,87184,2789469,3018358,0.031254693993731424,2931174,0.02888457896644467
205,25,55,224146,2789469,8135115,0.08035436134977661,7910969,0.027552898760496932
206,25,60,472670,2789469,17325563,0.16944802039384557,16852893,0.02728165312723171
207,25,65,571561,2789469,16829499,0.20489957049173158,16257938,0.03396185471712497
208,25,70,296219,2789469,12970494,0.10619189530337136,12674275,0.022837911956167592
209,25,80,122157,2789469,4308397,0.043792205613326404,4186240,0.028353236714258226
