quarter_label,s_nat,g_ld_nat,g_delta_nat
2012Q1,0.07144750698413094,0.038170890257850365,0.009048989828784838
2012Q2,0.07137708973966328,0.03984118885954746,0.009412396376036044
2012Q3,0.07182029894672015,0.03755103578091801,0.009626474571818484
2012Q4,0.07274681507946512,0.03795651483575202,0.009486146388958493
2013Q1,0.06898251769434782,0.03536109570441792,0.009482922335286696
2013Q2,0.07050970786361366,0.037006618150564274,0.009707124289697788
2013Q3,0.07097505306996799,0.0370893219497227,0.009181596069426914
2013Q4,0.06524441320585017,0.03476613430605968,0.009587862983274763
2014Q1,0.06497819245836245,0.035872135573206565,0.009181823293564517
2014Q2,0.06856319684296786,0.035450115264249016,0.009701173244435035
2014Q3,0.06779059152162692,0.035047426259095515,0.009430846653577149
2014Q4,0.064954004889472,0.03628816365316301,0.009841913368755428
2015Q1,0.06849516081584084,0.03680263943580697,0.00960823005575455
2015Q2,0.06638934631769255,0.03579551259668534,0.009487260046443733
2015Q3,0.061244842604025185,0.03608123059216228,0.009651985480207594
2015Q4,0.0625094930800476,0.03583765801809302,0.009949123329109587
2016Q1,0.06435384749570949,0.036314611296747845,0.009551942019769968
2016Q2,0.06134048346084875,0.034955195168066444,0.010407151677425222
2016Q3,0.06506579744539343,0.033933670047647135,0.009835884653891444
2016Q4,0.06442986620398283,0.03333338263028496,0.01030273082510566
2017Q1,0.06451967777426626,0.033812957592924686,0.00936110226371072
2017Q2,0.05786046212769902,0.0353034013929735,0.010028287199662358
2017Q3,0.058860527899863846,0.035754144225103146,0.01029905407880459
2017Q4,0.06029490067275456,0.034174381755396555,0.010323795313854767
2018Q1,0.06186818648380776,0.03506879072197444,0.009545378437776269
2018Q2,0.055137902854856535,0.033831666025502805,0.010298247042325789
2018Q3,0.056435502511118396,0.03407277978104262,0.010400639007971987
2018Q4,0.05855147713042319,0.03526290099313778,0.01061971237130003
2019Q1,0.0568914558207847,0.03255954222345958,0.010057997953144725
2019Q2,0.05366967029473213,0.03476184917954328,0.01080879120339399
2019Q3,0.053060586089744066,0.035113844452449694,0.010129512520477139
2019Q4,0.0542859977157466,0.034459765833664835,0.010682041871632571
2020Q1,0.15269835304923995,0.10350953076104263,0.011946832445136914
2020Q2,0.09372055015622438,0.09690638679934704,0.024111122982038605
2020Q3,0.06675687013823228,0.033534679703544956,0.011044840900867135
2020Q4,0.06720210497582413,0.03753383817556244,0.010823082969932948
2021Q1,0.05861479403725134,0.03092695368400289,0.009210886712225818
2021Q2,0.054338015500517534,0.02675363628834515,0.010066104431658647
2021Q3,0.05671039129151201,0.02684599480703409,0.011545854929074518
2021Q4,0.057305304695011605,0.025931332645518168,0.010739937971750338
2022Q1,0.05951765675983822,0.026411652930528717,
2022Q2,0.056513033298880466,0.027197030856014215,
2022Q3,0.05791512216057082,0.0281818683785221,
2022Q4,0.05668192558893381,0.02844337130125818,
2023Q1,0.05558157157476329,0.032080003310481,
2023Q2,0.05287616576607468,0.029852139095153163,
2023Q3,0.055685851365084305,0.029951385863156155,
2023Q4,0.055086920901455394,0.029829528959770424,
2024Q1,0.05795848443324836,0.03057163462993351,
2024Q2,0.05734534725904372,0.029423606039647887,
2024Q3,0.05693672572579367,0.03169291291433474,
2024Q4,0.05624813201009138,0.03169350184821684,
2025Q1,0.057206437713009595,0.031457839388157494,
2025Q2,0.05846240789829715,0.032259344280743285,
2025Q3,0.05991804267943923,0.032806647848837134,
2025Q4,0.055411330838159856,0.030135831402075652,
2026Q1,0.055431113337965576,0.030791409800885794,
