,0,1,2,3,4,5
2020-09-01,257.0,212.0,227.0,1164.0,1262.0,801.0
2020-10-01,288.0,231.0,242.0,1218.0,1259.0,821.0
2020-11-01,239.0,251.0,260.0,1263.0,1343.0,845.0
2020-12-01,294.0,207.0,253.0,1223.0,1448.0,799.0
2021-01-01,302.0,227.0,317.0,1349.0,1419.0,735.0
2021-02-01,316.0,278.0,248.0,1433.0,1477.0,949.0
2021-03-01,381.0,353.0,344.0,1659.0,1563.0,1097.0
2021-04-01,463.0,371.0,321.0,1696.0,1727.0,1306.0
2021-05-01,497.0,398.0,306.0,1692.0,1888.0,1421.0
2021-06-01,503.0,392.0,327.0,1888.0,1932.0,1585.0
2021-07-01,536.0,384.0,376.0,1853.0,2076.0,1790.0
2021-08-01,489.0,377.0,386.0,2079.0,2057.0,1731.0
2021-09-01,561.0,369.0,352.0,2002.0,1954.0,1591.0
2021-10-01,554.0,389.0,403.0,2016.0,2115.0,1633.0
2021-11-01,505.0,343.0,365.0,1968.0,2045.0,1595.0
2021-12-01,474.0,373.0,390.0,1954.0,2092.0,1661.0
2022-01-01,549.0,348.0,428.0,1866.0,2096.0,1589.0
2022-02-01,512.0,319.0,387.0,1961.0,2348.0,1695.0
2022-03-01,559.0,338.0,445.0,2138.0,2454.0,1650.0
2022-04-01,626.0,375.0,441.0,1896.0,2318.0,1617.0
2022-05-01,519.0,306.0,412.0,1919.0,2226.0,1602.0
2022-06-01,542.0,309.0,401.0,1627.0,2282.0,1586.0
2022-07-01,524.0,373.0,375.0,1743.0,2101.0,1615.0
2022-08-01,523.0,318.0,334.0,1637.0,1785.0,1477.0
2022-09-01,492.0,322.0,434.0,1660.0,2134.0,1524.0
2022-10-01,483.0,250.0,397.0,1674.0,1797.0,1578.0
2022-11-01,507.0,308.0,317.0,1568.0,2151.0,1536.0
2022-12-01,483.0,254.0,422.0,1821.0,2136.0,1662.0
2023-01-01,471.0,247.0,306.0,1789.0,2028.0,1510.0
2023-02-01,436.0,236.0,389.0,1701.0,1824.0,1420.0
2023-03-01,418.0,262.0,298.0,1381.0,1794.0,1445.0
2023-04-01,367.0,279.0,379.0,1689.0,1806.0,1383.0
2023-05-01,346.0,225.0,380.0,1525.0,1613.0,1308.0
2023-06-01,354.0,210.0,420.0,1398.0,1527.0,1218.0
2023-07-01,346.0,172.0,359.0,1432.0,1243.0,1187.0
2023-08-01,360.0,222.0,379.0,1248.0,1565.0,1199.0
2023-09-01,343.0,256.0,421.0,1289.0,1511.0,1374.0
2023-10-01,349.0,211.0,415.0,1288.0,1501.0,1197.0
2023-11-01,362.0,178.0,449.0,1315.0,1379.0,1183.0
2023-12-01,420.0,176.0,453.0,1319.0,1405.0,918.0
2024-01-01,326.0,230.0,407.0,1088.0,1443.0,1085.0
2024-02-01,366.0,195.0,429.0,1041.0,1399.0,1087.0
2024-03-01,326.0,188.0,338.0,994.0,1272.0,1177.0
2024-04-01,324.0,166.0,326.0,988.0,1289.0,1042.0
2024-05-01,405.0,171.0,375.0,985.0,1302.0,871.0
2024-06-01,294.0,158.0,285.0,1071.0,1131.0,906.0
2024-07-01,337.0,162.0,229.0,965.0,1367.0,947.0
2024-08-01,298.0,169.0,304.0,1097.0,1332.0,971.0
2024-09-01,317.0,153.0,251.0,923.0,1308.0,965.0
2024-10-01,311.0,144.0,249.0,927.0,1358.0,1166.0
2024-11-01,286.0,157.0,277.0,1007.0,1733.0,1021.0
2024-12-01,291.0,140.0,205.0,1079.0,1364.0,1147.0
2025-01-01,369.0,144.0,242.0,1234.0,1211.0,1057.0
2025-02-01,313.0,131.0,286.0,1036.0,1336.0,1030.0
2025-03-01,261.0,136.0,251.0,1036.0,1249.0,960.0
2025-04-01,257.0,135.0,242.0,1036.0,1386.0,914.0
2025-05-01,296.0,129.0,232.0,951.0,1302.0,1199.0
2025-06-01,243.0,153.0,242.0,1102.0,1365.0,1034.0
2025-07-01,262.0,176.0,303.0,1096.0,1274.0,995.0
2025-08-01,259.0,150.0,188.0,1149.0,1235.0,1092.0
2025-09-01,256.0,129.0,231.0,1124.0,1502.0,1181.0
2025-10-01,274.0,140.0,202.0,1310.0,1300.0,1155.0
2025-11-01,271.0,128.0,284.0,1196.0,1273.0,884.0
2025-12-01,294.0,139.0,292.0,1024.0,1016.0,950.0
